"Nom","Description synopsis","Nom Saison","Titre Épisode","Description Épisode","Durée","Épisodes Inclus","Nom Fichier Image"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Examen chūnin","De nouveaux pouvoirs","L'équipe 10 s'est finalement décidée à prêter main-forte à Sakura, amochée par les coups que lui a portés Zaku. Malheureusement, le trio est neutralisé par leurs adversaires. Neji et Tenten rejoignent le champ de bataille et retrouvent leur équipier, inconscient. Le jeune Hyuga veut venger Rock Lee, mais décide de s'abstenir. C'est alors que Sasuke se réveille de sa léthargie, avec les marques de son sceau maudit qui se sont étendus sur le corps. Utilisant cette nouvelle puissance, il bat facilement Zaku en lui cassant les bras et fait fuir les ninjas d'Oto, qui lui laissent leur parchemin.","1:30:30","33 - 37","24_Naruto‎_De nouveaux pouvoirs.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Examen chūnin","Retournements de situation","À peine le combat commencé, Kiba porte un coup violent à Naruto et pense avoir déjà gagné. Mais son adversaire se relève. Durant le combat, l'élève de Kakashi fait preuve de malignité, avec ses techniques de métamorphose, permettant de prendre l'ascendant sur son opposant, en le battant à son propre jeu. Voulant passer aux choses sérieuses, l'élève de Kurenaï fait avaler une pilule à Akamaru, faisant de même, et pense avoir neutralisé son rival avec la « Morsure de l'Homme-Bête ». Ayant une volonté de fer malgré ses blessures, Naruto refuse d'abandonner…","2:01:51","38 - 46","24_Naruto‎_Retournements de situation.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Examen chūnin","Un génie de l'effort","Lee joue son dernier atout, la face cachée du Lotus. Mais sa tentative est vouée à l'échec et perd le combat sur une contre-attaque de Gaara. Gaï, fier du combat livré par son élève préféré, va apprendre qu'il ne pourra plus devenir ninja à cause des blessures graves subies au bras et à la jambe gauche.","1:42:52","47 - 51","24_Naruto‎_Un génie de l_effort.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Examen chūnin","Mon nouveau prof","Naruto fait la rencontre de son parrain, Jiraya, un des trois ninjas légendaires de son village. Ce dernier ayant assommé son instructeur, il lui demande de le remplacer, mais il refuse. L'ermite essaie de lui échapper, mais le jeune garçon le retrouve à chaque fois. Lorsque celui-ci utilise son « Sexy Jutsu » sur lui, il revient sur sa décision et accepte d'entraîner Naruto. Plus tard, le Sannin s'excuse auprès d'Ebisu pour lui avoir pris son élève.","1:37:27","52 - 59","24_Naruto‎_Mon nouveau prof.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Examen chūnin","La Force de changer","Alors qu'il allait être disqualifié, Sasuke fait finalement son apparition dans le stade. Pendant ce temps, en coulisses, Naruto et Shikamaru assistent à une scène terrifiante.","1:43:22","60 - 65","24_Naruto‎_La Force de changer.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Examen chūnin","La chute de Konoha","Mortellement blessé, le 3ᵉ hokage décide d'utiliser une technique de sceau secrète pour éliminer Orochimaru. Pendant ce temps, Sasuke est sur le point de rattraper le groupe de Gaara.","1:20:29","66 - 73","24_Naruto‎_La chute de Konoha.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Examen chūnin","Un choc de titans","Naruto passe à l'attaque pour sauver Sasuke et Sakura. Alors que le Shukaku a pris sa forme définitive, Naruto invoque Gamabunta.","1:59:00","71 - 83","24_Naruto‎_Un choc de titans.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Recherche de Tsunade","Le Légendaire","Naruto et Jiraya se mettent en route à la recherche de Tsunade. Ils décident de s'arrêter dans une ville où un festival a lieu afin d'y séjourner pendant quelques jours et de commencer l'entraînement.","2:08:22","80 - 88","24_Naruto‎_Le Légendaire.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Recherche de Tsunade","La démesure de la légende","Tsunade a fait son choix, et ça n'est pas en faveur d'Orochimaru, la bataille commence Tsunade contre Orochimaru et Kabuto Yakushi. Après quelques minutes de combat, Naruto, Jiraya et Shizune arrivent en renforts pour prêter main-forte à Tsunade.","2:22:52","89 - 96","24_Naruto‎_La démesure de la légende.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Fuite de Sasuke","Rivalité","L'équipe 10 fête la promotion de Shikamaru qui passe de Genin à Chûnin. Mais à l'hôpital, Sasuke provoque Naruto en duel.","1:32:52","97 - 110","24_Naruto‎_Rivalité.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Fuite de Sasuke","La force en laquelle je crois","Neji continue à combattre Kidômarô, qui a trouvé le point faible du Byakugan de Neji. Pendant ce temps, Shikamaru, Naruto, Kiba et Akamaru continuent leur chemin.","1:00:54","107 + 110 - 117","24_Naruto‎_La force en laquelle je crois.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Fuite de Sasuke","Tournant décisif","La maîtrise du sable de Gaara pousse Kimimaro à ses limites. Mais celui-ci, porteur d'un lourd passé, montre toute la puissance héritée de son clan. À la frontière du pays du feu, Naruto rattrape Sasuke et essaye de le raisonner.","2:12:44","118 - 127","24_Naruto‎_Tournant décisif.webp"
"Naruto‎","Dans le village de Konoha vit Naruto, un jeune garçon détesté et craint des villageois. Il est craint du fait qu'il détient en lui Kyuubi (démon renard à neuf queues) d'une incroyable force, qui a tué un grand nombre de personnes. Le ninja le plus puissant de Konoha à l'époque, le quatrième Hokage, Minato Namikaze, réussit à sceller ce démon dans le corps de Naruto.
Malheureusement il y laissa la vie.

C'est ainsi que douze ans plus tard, Naruto rêve de devenir le plus grand Hokage de Konoha afin que tous le reconnaissent à sa juste valeur. Mais la route pour devenir Hokage est très longue et Naruto sera confronté à un bon nombre d'épreuves et devra affronter de nombreux ennemis pour atteindre son but !","Fuite de Sasuke","La Vallée de la Fin","Pendant que Kakashi ramène Naruto au village, Shikamaru est inquiet pour Kiba et Akamaru, Chôji et Neji qui se font soigner. la vie de Kiba n'est pas menacée, malgré une blessure grave, mais Neji et Chôji se trouvent en situation critique. Shikamaru a échoué dans sa mission et s'en morfond. Sasuke a rejoint Orochimaru après son combat contre Naruto et ce dernier essaye de se faire pardonner auprès de Sakura en lui promettant de ramener leur ex-compagnon. Jiraya informe Naruto des plans de l'Akatsuki vis-à-vis de lui qui aboutiront dans 3 ans et lui demande d'oublier Sasuke. De nature entêtée, Naruto refuse et déclare qu'il veut toujours sauver Sasuke des griffes d'Orochimaru quoi qu'il puisse arriver.","2:16:37","128 - 136 + 141 - 142 + 220","24_Naruto‎_La Vallée de la Fin.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Izuku Midoriya : Origines","Dans une société où 80 % de la population possède des super-pouvoirs nommés ""Alters"", Izuku Midoriya, élève en troisième au collège Oridera, en est dépourvu. Ses pouvoirs ne se sont pas manifestés, et ne le feront probablement jamais. L'an prochain, il doit entrer au lycée. Et bien qu'il n'ait aucun Alter, il vise le lycée Yuei, une académie réputée qui a formé les plus grands super-héros...","1:17:07","01 - 04 (Saison 1)","30_My Hero Academia_Izuku Midoriya _ Origines.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Yuei, l'Académie des Héros","C'est le premier jour de cours pour les nouveaux élèves du lycée Yuei, mais une surprise attend Izuku et ses camarades pour cette rentrée ! Leur professeur principal, un homme antipathique à première vue, n'est pas du genre à perdre du temps : il commence aussitôt par un test d'aptitudes pour évaluer ses élèves. Il va falloir faire attention à ne pas finir dernier sous peine d'être renvoyé du lycée !","1:16:43","05 - 08 (Saison 1)","30_My Hero Academia_Yuei_ l_Académie des Héros.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Rencontre avec l'Inconnu","La formation des futurs super-héros continue au lycée Yuei, l'académie des héros. Les plus jeunes élèves s'habituent petit à petit à la vie sur le campus, bien qu'il soit assailli ces derniers temps par une foule de journalistes venus interviewer le numéro 1 des super-héros, le grand All Might. Mais alors que tout le monde déjeune tranquillement au réfectoire, une alarme retentit dans tout le lycée. L'alerte est lancée ! Quelqu'un s'est introduit dans l'établissement...","1:38:03","09 - 13 (Saison 1)","30_My Hero Academia_Rencontre avec l_Inconnu.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Tactiques, plans et stratégies","Après la violente attaque du SCA par l'Alliance des super-vilains, les élèves de seconde A du lycée Yuei se remettent petit à petit de leurs émotions. Mais voilà, le repos ne sera que de courte durée, car comme le dit M. Aizawa : ""la bataille ne fait que commencer"" ! Le grand championnat sportif annuel de Yuei approche à grands pas ! C'est l'occasion rêvée pour les élèves du lycée de faire leurs preuves, dans l'espoir qu'une agence de super-héros professionnels les remarque.","1:22:21","01 - 05 (Saison 2)","30_My Hero Academia_Tactiques_ plans et stratégies.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Un chant de glace et de feu","Après sa qualification pour l'épreuve finale, Izuku est une nouvelle fois interpelé par Shoto. Pour quelle raison ce dernier s'intéresse-t-il autant à lui ? Pourquoi veut-il à tout prix battre Izuku ? Shoto va se mettre à nu et tout raconter à notre héros... Izuku va se rendre compte une nouvelle fois que chacun a des raisons bien personnelles de vouloir devenir le numéro 1...","2:01:40","06 - 12 (Saison 2)","30_My Hero Academia_Un chant de glace et de feu.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Le Tueur de Héros","Izuku, avec ses camarades de classe, se rendre à leurs lieux de travail choisis pour acquérir de l'expérience et de la formation sous la supervision des Héros professionnels. Pendant ce temps, le mal commence à se déplacer dans Hosu, pour aboutir finalement à une confrontation entre trois jeunes héros et leur premier vilain redoutable, Stain, le tueur de Héros.","2:09:19","13 - 20 (Saison 2)","30_My Hero Academia_Le Tueur de Héros.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Ennemi intime","Les élèves de la seconde A participeront à l'examen de fin de trimestre qui s'agit d'une épreuve écrit et pratique. Seulement, cette année, ce ne sont pas des robots simulateurs que les seconde vont devoir affronter, mais leurs propres professeurs.","1:24:35","21 - 25 (Saison 2)","30_My Hero Academia_Ennemi intime.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Festival des Ténèbres","Les élèves de seconde A et B de Yuei participent à un camp d'été visant à perfectionner les Alters des héros en herbe. Les exercices sont difficiles et pour ceux dont les notes sont moyennes, des cours du soir intenses sont au programme. Et tandis que la troupe s’apprête à participer à une épreuve de courage, un escadron de l’Alliance des Super-Vilains est sur le point de prendre les élèves pour cibles.","1:54:22","02-08 (Saison 3)","30_My Hero Academia_Festival des Ténèbres.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","Héros de Yuei (Saisons 1-2-3)","Un pour tous, tous pour un","Alors que Katsuki Bakugo a été capturé par l'Escadron Genesis, affilié à l'Alliance des super-vilains au camp d'été, les héros professionnels envisagent d'aller s'infiltrer à la cachette de l'organisation criminelle. Pendant ce temps, Izuku, Eijiro, Shoto, Tenya suivi de Momo décident de prendre les choses en main et de tenter de sauver leur camarade de classe par eux-mêmes.","1:33:42","08 - 13 (Saison 3)","30_My Hero Academia_Un pour tous_ tous pour un.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","L'Examen","Le lycée Yuei a été transféré dans un internat nommé Heights Alliance. La seconde A commence sa nouvelle vie dans cet internat. La première tâche que la Seconde A doit accomplir, elle s'agit de terminer son entraînement pour améliorer leur Alter, ce qu'elle n'a pas réussi à faire au camp pour être prête à accepter l'examen des permis provisoires.","1:34:05","13 - 18 (Saison 3)","30_My Hero Academia_L_Examen.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","Avis de tempête","Les élèves ayant réussi la première épreuve au permis provisoire n'en ont pas encore fini. Une seconde épreuve les attend avant de recevoir le précieux sésame. Le nombre de candidats est désormais réduit à 100, mais ça ne veut pas dire pour autant qu'il faille relâcher ses efforts. Une mission de sauvetage de grande envergure commence !","1:27:45","19 - 23 (Saison 3)","30_My Hero Academia_Avis de tempête.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","La Saison des rencontres","Overhaul, nom de code d'un jeune yakuza mystérieux, entre en contact avec l'Alliance des super-vilains pour leur présenter son projet. Mais la rencontre tourne au vinaigre. Pendant ce temps, à Yuei, les professeurs ont du mal à s'entendre sur le fait de laisser les élèves de seconde suivre l'apprentissage normalement réservé à leurs aînés. Faut-il les autoriser à prendre des risques afin de former des héros plus forts, ou faut-il au contraire les protéger ?","2:02:10","24 (Saison 3) + 01 - 06 (Saison 4)","30_My Hero Academia_La Saison des rencontres.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","Huit Préceptes de la Mort","Maintenant que la mission de sauvetage d'Eri a été officiellement annoncée, il faut désormais trouver où la petite fille est retenue prisonnière. En attendant, les élèves en apprentissage ont interdiction d'en parler à qui que ce soit, même entre eux. Ce lourd secret et les révélations à répétition commencent à peser sur Izuku. Mais bientôt, l'alerte va sonner et il va être temps de passer à l'action...","2:42:59","07 - 15 (Saison 4)","30_My Hero Academia_Huit Préceptes de la Mort.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","Rattrapage","Shoto et Katsuki ont tous les deux raté la seconde étape de l'Examen de licence provisoire, ils doivent donc le rattraper. Là bas, ils retrouvent des élèves de Shiketsu, Utsushimi Camie et Inasa Yoarashi, tous les quatre doivent gagner le cœur d'enfants de la nouvelle génération d'alters. Pendant ce temps, Endeavor veut avoir une sérieuse discussion avec All Might sur le fait d'être le Symbole de la Paix.","40:41","15 - 17 (Saison 4)","30_My Hero Academia_Rattrapage.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","Après la pluie","Alors que le festival approche à grands pas, les élèves de seconde A répètent jusqu'au dernier moment. Puis le grand jour arrive enfin. Si tout se passe bien, le festival aura bien lieu. Mais Midnight a été claire : à la moindre alerte, on annule tout. Le projet du mystérieux Gentle mettra-t-il fin à l'événement tant attendu par les élèves de Yuei ?","2:08:01","17 - 23 (Saison 4)","30_My Hero Academia_Après la pluie.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","Héritage","Avec tous les événements récents liés à la recrudescence de crimes ainsi que la retraite d'All Might, la société vit dans l'insécurité et les super-héros sont tenus pour responsables. Quoi de mieux pour redorer leur blason que l'annonce du classement des super-héros ? Sans All Might à la place de numéro un, les choses vont certainement changer.","1:03:27","24 + 25 (Saison 4) 01 + 02 (Saison 5)","30_My Hero Academia_Héritage.webp"
"My Hero Academia","Henshū - Dans un monde où 80% de la population mondiale possède des super-pouvoirs, ici nommés ""Alters"", n'importe qui peut devenir un héros ou, s'il le souhaite, un criminel. Nous suivons les aventures d'Izuku Midoriya, l'un des rares humains ne possédant pas d'alter, qui rêve pourtant de rejoindre la filière super-héroïque de la grande académie Yuei et de devenir un jour un des plus grands héros de son époque, à l'image de son héros, All Might !","L'Ascension du Mal (Saisons 3-4-5-6)","Au-delà des limites","Durant l'hiver, les secondes A et B vont s'entraîner en commun, cependant Hitoshi Shinso, rejoint le département des héros pour s'entraîner avec eux.","1:42:39","03 - 08 (Saison 5)","30_My Hero Academia_Au-delà des limites.webp"
